prefix,n_train,n_calib,n_test,n_test_active,n_calib_neg,auroc_test,auprc_test,conformal_ran,fdr02_n_selected,fdr02_true_fdr,fdr02_n_actives,ks_distances
CHEMBL214_Ki_CHEMBL5121174,483,241,242,104,121,0.9187569676700111,0.9098008165356181,True,42,0.023809523809523808,41,"{'ks_neg': (0.09090909090909016, 0.02479338859924929), 'ks_nc': (0.07238292011019332, 0.02066115707117533)}"
CHEMBL217_Ki_CHEMBL1176478,619,309,310,120,163,0.8649074074074075,0.8367442113331627,True,69,0.13043478260869565,60,"{'ks_neg': (0.06650306748466184, 0.03565893114562424), 'ks_nc': (0.08213114754098355, 0.013333333460461838)}"
CHEMBL217_Ki_CHEMBL1225816,619,309,310,124,170,0.8838078933141106,0.8599801356581351,True,38,0.0,38,"{'ks_neg': (0.1096680256260899, 0.02145214522104888), 'ks_nc': (0.1402369745171207, 0.019801980230771954)}"
CHEMBL217_Ki_CHEMBL1694505,619,309,310,119,167,0.8591744390063718,0.7996120705771157,True,10,0.1,9,"{'ks_neg': (0.10344758987009345, 0.019933554828950095), 'ks_nc': (0.07216382549970035, 0.013466883728738277)}"
CHEMBL217_Ki_CHEMBL1777183,619,309,310,115,168,0.8862085086489013,0.8031051330551857,True,28,0.07142857142857142,26,"{'ks_neg': (0.13289036544850477, 0.029900332226048557), 'ks_nc': (0.0984109984262932, 0.041864062801175383)}"
CHEMBL217_Ki_CHEMBL2162846,619,309,310,130,167,0.8865497076023392,0.8360535702077614,True,60,0.08333333333333333,55,"{'ks_neg': (0.09692243420136457, 0.023921165213247997), 'ks_nc': (0.08713280293757639, 0.019080642965436434)}"
CHEMBL217_Ki_CHEMBL2344228,619,309,310,125,167,0.9091555555555556,0.8645054924496873,True,57,0.10526315789473684,51,"{'ks_neg': (0.05587513497595731, 0.031147541052463645), 'ks_nc': (0.057458204836881466, 0.024694524125975392)}"
CHEMBL217_Ki_CHEMBL2388819,619,309,310,126,174,0.8834920634920634,0.8466793521011816,True,48,0.08333333333333333,44,"{'ks_neg': (0.10930996295871975, 0.023255814127795538), 'ks_nc': (0.1020454693505275, 0.014556923363914565)}"
CHEMBL217_Ki_CHEMBL3117737,619,309,310,121,163,0.8763491848439687,0.8352826445866067,True,61,0.11475409836065574,54,"{'ks_neg': (0.06302470132386177, 0.018092105504890085), 'ks_nc': (0.049342105263158006, 0.01718714309234015)}"
CHEMBL217_Ki_CHEMBL3374187,619,309,310,118,167,0.9003426877836436,0.8564404701691997,True,49,0.061224489795918366,46,"{'ks_neg': (0.055702548391588794, 0.020017593810543466), 'ks_nc': (0.05315614617940234, 0.013289036614124505)}"
CHEMBL217_Ki_CHEMBL3379351,619,309,310,121,169,0.9028925619834711,0.8326424348980426,True,11,0.18181818181818182,9,"{'ks_neg': (0.05451257150720468, 0.03160164445802638), 'ks_nc': (0.06330993817517755, 0.013291714828335244)}"
CHEMBL217_Ki_CHEMBL3591124,619,309,310,125,160,0.9046436781609195,0.8770197014314268,True,0,,0,"{'ks_neg': (0.08612040133779386, 0.023411371237458196), 'ks_nc': (0.06312571056436739, 0.01712539173129224)}"
CHEMBL217_Ki_CHEMBL3599873,619,309,310,119,162,0.8856773478622219,0.8394021675568158,True,22,0.0,22,"{'ks_neg': (0.11371559821172256, 0.043189368770764125), 'ks_nc': (0.10963455149501733, 0.013289036558125633)}"
CHEMBL217_Ki_CHEMBL3762401,619,309,310,123,169,0.8934821551605346,0.8633727415311649,True,14,0.07142857142857142,13,"{'ks_neg': (0.08696252465483056, 0.02500000151718773), 'ks_nc': (0.07135313531352999, 0.013333333375754153)}"
CHEMBL217_Ki_CHEMBL3857974,619,309,310,115,170,0.8527816736792895,0.7796163927450389,True,30,0.06666666666666667,28,"{'ks_neg': (0.06341606410006217, 0.043189368770764125), 'ks_nc': (0.06312292358804028, 0.03322259136212625)}"
CHEMBL217_Ki_CHEMBL4011211,619,309,310,130,178,0.8967611336032388,0.852743525502422,True,28,0.03571428571428571,27,"{'ks_neg': (0.08025682182985505, 0.016611295681938865), 'ks_nc': (0.07057881867921068, 0.016611295799636036)}"
CHEMBL217_Ki_CHEMBL4350893,619,309,310,120,157,0.8898250460405157,0.8536280645309406,True,46,0.043478260869565216,44,"{'ks_neg': (0.08132128573544428, 0.029900332244352235), 'ks_nc': (0.07015247189280716, 0.016668559756963686)}"
CHEMBL217_Ki_CHEMBL4354013,619,309,310,120,167,0.87744014732965,0.8109446124964561,True,0,,0,"{'ks_neg': (0.05311635864483577, 0.019933554817385235), 'ks_nc': (0.052772386873240595, 0.009923624624286809)}"
CHEMBL217_Ki_CHEMBL4429153,619,309,310,114,170,0.8542077117928512,0.7607878427770861,True,27,0.1111111111111111,24,"{'ks_neg': (0.09437170216923585, 0.023255815519597378), 'ks_nc': (0.1177263905792576, 0.024338171392944252)}"
CHEMBL217_Ki_CHEMBL4629186,619,309,310,122,159,0.8751821493624772,0.7760888207834299,True,68,0.16176470588235295,57,"{'ks_neg': (0.05572910158690325, 0.02814569554535451), 'ks_nc': (0.06809864064133464, 0.014900662402847265)}"
CHEMBL217_Ki_CHEMBL4819277,619,309,310,130,179,0.9001809954751131,0.8889708087744559,True,0,,0,"{'ks_neg': (0.053072625698325604, 0.021666666666924184), 'ks_nc': (0.05263157894737042, 0.021666666715903227)}"
CHEMBL217_Ki_CHEMBL5121178,619,309,310,124,169,0.8484958318231243,0.7759545088746855,True,75,0.21333333333333335,59,"{'ks_neg': (0.09269563854383117, 0.023178807947017432), 'ks_nc': (0.05542000697107097, 0.01490066225217146)}"
CHEMBL217_Ki_CHEMBL5145822,619,309,310,125,164,0.8812272727272727,0.8595130168855826,True,41,0.024390243902439025,40,"{'ks_neg': (0.08307673608297683, 0.01994080283159977), 'ks_nc': (0.07123055598336742, 0.021282474858855704)}"
CHEMBL217_Ki_CHEMBL863653,619,309,310,132,176,0.8968360071301247,0.879638247046927,True,55,0.05454545454545454,52,"{'ks_neg': (0.10118151715833834, 0.01821192063206556), 'ks_nc': (0.0733705123736494, 0.015058408690523883)}"
CHEMBL217_Ki_CHEMBL895648,619,309,310,133,180,0.8850508624502432,0.8572024661647413,True,0,,0,"{'ks_neg': (0.11771177117711765, 0.02805280609732215), 'ks_nc': (0.073399774187945, 0.01650165148077426)}"
