smiles,08db82d861b671e7327435adb0af8d8b,177e811e75430142a666759fd698b6e5,3c201c7b515ba38b493832d7d6ce9bd5,5b0fe37d404cd3c110d464704646dcec,620b5ed985061392ed8aae9f9528d061,647f8503dc05a8ce2e32ee1f93b0974d,6ca673946935809de97f788926b01dd0,750c44ea570e336935edbe8acac0bf2c,7f73c5dd89b7b6d8ca56c162eee39ae0,8132ec8ba57183423b419d0728f76632,93411e5dfe32b461732e76df488a6224,950edee628a799c6d21b79616a3c2922,9a0ea9c5d064d5578aba12a00c1e51d1,aab458b586520ad6a82e21e396e745fa,bf615fc2b04369c84661b7e8b940d315,c6eb716f36a79621c8c73c735dd764f1,e88725960b249dc424ccffef189c0409,fdec110d610fe1b09f58d831c373b615,fe20600845ef96e5518a9f0e76e56fa5
C=CCNCCN1CN(c2ccccc2)C2(CCN(C3CCC(C)(C)c4ccccc43)CC2)C1=O,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)C1=C(O)C2Oc3c(O)ccc4c3C23CCN(CC2CC2)C(C4)C3(O)C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)CN1CN(c2ccccc2)C2(CCN(C3CCC(C)(C)c4ccccc43)CC2)C1=O,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N(C)c1nc2cc3c(cc2s1)CC1C2CCCCC32CCN1CC1CC1,0.0,0.0,0.0,5.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N(CCCN1C2CCC1CC(c1cccc(C(N)=O)c1)C2)CC1CCCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
CC(=O)N(CCN1C2CCC1CC(c1cccc(C(=O)NOP(=O)(O)O)c1)C2)CC1CCC(F)(F)CC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
CC(=O)N(CCN1C2CCC1CC(c1cccc(C(N)=O)c1)C2)CC12CC3CC(CC(C3)C1)C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
CC(=O)N(CCN1C2CCC1CC(c1cccc(C(N)=O)c1)C2)CC1CCCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N(CCN1C2CCC1CC(c1cccc(O)c1)C2)CC12CC3CC(CC(C3)C1)C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
CC(=O)N(CCN1C2CCC1CC(c1cccc(O)c1)C2)CC1CCCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
