smiles,177e811e75430142a666759fd698b6e5,5b0fe37d404cd3c110d464704646dcec,620b5ed985061392ed8aae9f9528d061,6fa320bfcd6509c7afae3ec8401badd8,78d09c9bdd2584d3854a898d227d641f,7f73c5dd89b7b6d8ca56c162eee39ae0,950edee628a799c6d21b79616a3c2922,9a0ea9c5d064d5578aba12a00c1e51d1,aab458b586520ad6a82e21e396e745fa,b311698a3b8d92f7eeb6ecfd51b6b912,c1d4611dffa813a26fd1034c25cabde3,c6eb716f36a79621c8c73c735dd764f1,cec89ffbb36294b123484faf17ab3a30,d2bb6d3d58b1bcb29df748e0c133c4f1,de4ea86d93119b0ed700c0fefbdba03a,fdec110d610fe1b09f58d831c373b615
CC(C(=O)NCc1ccc(C(F)(F)F)nc1N1CCN(Cc2ccccc2)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1N1CCN(c2ccc(C(F)(F)F)cc2)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1N1CCN(c2ccc(F)cc2)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,7.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1N1CCN(c2ccccc2)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,7.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1N1CCN(c2ccccc2F)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,7.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1N1CCN(c2ccccn2)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,6.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1N1CCN(c2ncccc2Cl)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1N1CCOCC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,6.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1N1Cc2ccccc2C1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,6.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1NC1CCCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,6.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1NCC1CCN(C(=O)OC(C)(C)C)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,5.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1NCc1ccc(Cl)cc1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,6.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1NCc1ccccc1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,6.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1Nc1ccccc1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,5.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1OC1CCC(C(C)(C)C)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
