smiles,00a2afcaf74127670fee80a7ab6abfce,095fb41a59ca6f9f7711a6343b066366,3c201c7b515ba38b493832d7d6ce9bd5,7f73c5dd89b7b6d8ca56c162eee39ae0,80121ad0b332d2951073b235cff9295a,aab458b586520ad6a82e21e396e745fa,ad44e8c3c329d29118132e14ebb7d57f,c6eb716f36a79621c8c73c735dd764f1,d410a79829f7b5969e91eeb2e7aa14d8,ef3b4627f9961bac2d0298e9d8390ece
C#CCN(C)CCCOc1ccc2ccc(=O)oc2c1,0.0,0.0,0.0,5.96,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CCCOc1cccc(NC(=O)c2ccccc2)c1,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CCCc1ccc(O)c2ncccc12,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
C#CCN(C)CCCc1cn(-c2cc(NC(=S)NCC)ncn2)cn1,0.0,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CCOc1ccc2ccc(=O)oc2c1,0.0,0.0,0.0,5.96,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CCc1ccc(Cc2cn(C)nn2)cc1,0.0,0.0,0.0,5.28,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CCc1ccc(O)c2ncccc12,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0
C#CCN(C)CCc1cn(-c2cc(NC(=S)NCC)ncn2)cn1,0.0,0.0,0.0,4.91,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CCc1cn(Cc2ccccc2)nn1,0.0,0.0,0.0,5.46,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccc(OC(=O)N(C)C)c5ncccc45)CC3)ccc2n1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.71,0.0,0.0
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccc(OC)c5ncccc45)CC3)ccc2n1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,0.0,0.0
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,0.0,0.0,0.0,7.41,0.0,0.0,0.0,5.92,0.0,0.0
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4C)CC3)ccc2n1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74,0.0,0.0
C#CCN(C)Cc1cc2cc(OCCCN3CCCCC3)ccc2n1C,0.0,0.0,0.0,7.11,0.0,0.0,0.0,5.71,0.0,0.0
C#CCN(C)Cc1ccc(Br)cc1,0.0,0.0,0.0,6.52,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)Cc1ccc(Cc2cn(C)nn2)cc1,0.0,0.0,0.0,6.22,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)Cc1ccc(O)c2ncccc12,0.0,0.0,0.0,4.99,0.0,7.24,0.0,0.0,0.0,0.0
C#CCN(C)Cc1ccc(OC)c2ncccc12,0.0,0.0,0.0,0.0,0.0,7.52,0.0,0.0,0.0,0.0
C#CCN(C)Cc1ccc(OCCCCCN2CCN(c3cccc4c3ccn4Cc3cccc(Cl)c3)CC2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.52
C#CCN(C)Cc1ccc(OCCCCCN2CCN(c3cccc4c3ccn4S(=O)(=O)c3ccccc3)CC2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.81
C#CCN(C)Cc1ccc(OCCCCN2CCN(c3cccc4c3ccn4Cc3cccc(Cl)c3)CC2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.49
C#CCN(C)Cc1cccc(Cc2cn(C)nn2)c1,0.0,0.0,0.0,4.19,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0
C#CCN(C)Cc1ccccc1,0.0,0.0,0.0,6.73,0.0,5.57,0.0,6.71,6.82,0.0
C#CCN(C)Cc1cn(-c2cc(NC(=S)NCC)ncn2)cn1,0.0,0.0,0.0,5.85,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)Cc1cn(CCc2ccccc2)nn1,0.0,0.0,0.0,4.95,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)Cc1nnn(C)c1CCCC,0.0,0.0,0.0,4.02,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)c1nc(NCCCCC2CCN(Cc3ccccc3)CC2)c(C#N)cc1C#N,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(CCCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09,0.0,0.0
C#CCN(CCCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,0.0,0.0
C#CCN(CCCCCCNc1c2c(nc3ccccc13)CCCC2)C(C)Cc1ccc(OC)cc1,0.0,0.0,0.0,4.74,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(CCCCCCOc1ccc2c(c1)NC(=O)CC2)Cc1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42,0.0,0.0
C#CCN(CCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23,0.0,0.0
C#CCN(CCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0
C#CCN(CCCCCOc1ccc2c(c1)NC(=O)CC2)Cc1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,0.0,0.0
C#CCN(CCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19,0.0,0.0
C#CCN(CCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.0
C#CCN(CCCCOc1ccc2c(c1)NC(=O)CC2)Cc1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,0.0,0.0
C#CCN(CCCCOc1ccc2ccc(=O)oc2c1)Cc1ccc(C(C)C)cc1,0.0,0.0,0.0,5.46,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(CCCCOc1ccc2ccc(=O)oc2c1)Cc1ccc(C)cc1,0.0,0.0,0.0,5.78,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(CCCCOc1ccc2ccc(=O)oc2c1)Cc1ccc(F)c(F)c1,0.0,0.0,0.0,5.62,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(CCCCOc1ccc2ccc(=O)oc2c1)Cc1ccc(OC)cc1,0.0,0.0,0.0,5.95,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(CCCCOc1ccc2ccc(=O)oc2c1)Cc1cccc(F)c1,0.0,0.0,0.0,5.81,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(CCCCOc1ccc2ccc(=O)oc2c1)Cc1cccc(OC)c1,0.0,0.0,0.0,5.63,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(CCCCOc1ccc2ccc(=O)oc2c1)Cc1ccccc1,0.0,0.0,0.0,6.01,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(CCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58,0.0,0.0
