smiles,00a2afcaf74127670fee80a7ab6abfce,14702975da99d0507d6e199c5b4ca495,1570720a59aa115089513ac45853c48a,266536e40f25e2ac5b376d0aa594f111,34dd7286e2d85c4df3e265bd85d09289,3dc315b3309f6789949b726a9a7c4167,3fddb2cd5a9ee9f0fa968437986be5e7,4f983c9c8fb34ba44974c6548afe3114,5b0fe37d404cd3c110d464704646dcec,7f73c5dd89b7b6d8ca56c162eee39ae0,80121ad0b332d2951073b235cff9295a,950edee628a799c6d21b79616a3c2922,96c7227468bec679eb245d68c59527d5,9a0ea9c5d064d5578aba12a00c1e51d1,9d13704853324c42c17502235cdb1b57,a2978db6472f2d430310a51b887fdcd4,a4cbe1a6a440ab4dfe63b9f257dced75,aab458b586520ad6a82e21e396e745fa,aedecfbcfa114d0e67614acf510f1c26,c0db50ee265eed4f605cce27bcb440ed,c6eb716f36a79621c8c73c735dd764f1,d2444ac42f0cfe1a07af40dd7506c4b5,d410a79829f7b5969e91eeb2e7aa14d8,d4cfb4064c5748b8ef6eece595fb46a6
CC(=O)OC1CC2C3(C)CCC(O)C(C)(C)C3CCC2(C)C2(C)C(=O)C=CC12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47,0.0,7.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)OC1CC2C3(C)CCC(OC(C)=O)C(C)(C)C3CCC2(C)C2(C)CCC(C(=O)CCCC(C)C)C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)OC1CC2C3(C)CCC(OC(C)=O)C(C)(C)C3CCC2(C)C2(C)CCC(C(=O)CO)C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)OC1CC2C3(C)CCC(OC(C)=O)C(C)(C)C3CCC2(C)C2(C)CCC(C(C)=O)C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)OC1CCC2(C)C(CCC3(C)C2C(=O)C=C2C4C(C)C(C)CCC4(C(=O)O)CCC23C)C1(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)OC1CCC2(C)C(CCC3(C)C2C(=O)C=C2C4CC(C)(C(=O)N(C)O)CCC4(C)CCC23C)C1(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)OC1CCC2(C)C(CCC3(C)C2C(=O)C=C2C4CC(C)(C(=O)NO)CCC4(C)CCC23C)C1(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)OC1CCC2(C)C(CCC3(C)C2C(=O)C=C2C4CC(C)(C(=O)O)CCC4(C)CCC23C)C1(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)OC1CCC2(C)C(CCC3(C)C2C(=O)C=C2C4CC(C)(NC(=O)NS(=O)(=O)C(F)(F)F)CCC4(C)CCC23C)C1(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)OC1CCC2(C)C(CCC3(C)C2C(=O)C=C2C4CC(C)(NC(N)=O)CCC4(C)CCC23C)C1(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)OC1CCC2(C)C(CCC3(C)C2CC(O)C2C(O)CCC23C)C1(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
